question_id,english_question,french_question,german_question,spanish_question,hindi_question,gujarati_question,score_per_que,unit_id
1,Good Morning,Bonjour,Guten Morgen,Buen día,शुभ प्रभात,સુપ્રભાત,1,1
2,Good Afternoon,Bon après-midi,Guten Tag,Buenas tardes,शुभ दोपहर,શુભ બપોર,1,1
3,Good Evening,Bonne soirée,Guten Abend,Buenas noches,शुभ संध्या,શુભ સાંજ,1,1
4,Good night,Bonne nuit,Gute Nacht,Buenas noches,शुभ रात्रि,શુભ રાત્રી,1,1
5,I am,Je suis,Ich bin,Soy,मैं हूँ,હું છું,1,1
6,You,Toi,Du,Tú,आप,તમે,1,1
7,He,Il,Er,Él,वह,તેમણે,1,1
8,She,Elle,Sie,Ella,वह,તેણીએ,1,1
9,We,Nous,Wir,Nosotros,हम,અમે,1,1
10,They,Ils,Sie,Ellos,वे,તેઓ,1,1
11,Hello Paul,Salut Paul,Hallo Paul,Hola Paul,नमस्कार पॉल,હેલો પોલ,1,1
12,Goodbye julia,Au revoir Julia,Auf Wiedersehen Julia,Adiós Julia,अलविदा जूलिया,ગુડબાય જુલિયા,1,1
13,You are nice,Tu es gentil,Du bist nett,Eres amable,आप अच्छे हैं,તમે સારા છો,1,1
14,She is very tall,Elle est tres grande,Sie ist sehr groß,Ella es muy alta,वह बहुत लम्बी है,તેણી ખૂબ ઊંચી છે,1,1
15,I am sorry,Café ou thé,Kaffee oder Tee,Café o té,मुझे खेद है,હું દિલગીર છું,1,1
16,beverages,breuvages,Getränke,bebidas,पेय,પીણાં,1,2
17,water,eau,Wasser,agua,पानी,પાણી,1,2
18,food,nourriture,Essen,alimento,खाना,ખોરાક,1,2
19,bread,pain,brot,pan,रोटी,બ્રેડ,1,2
20,milk,lait,Milch,leche,दूध,દૂધ,1,2
21,tea,thé,Tee,té,चाय,ચા,1,2
22,coffee,café,Kaffee,café,कॉफी,કોફી,1,2
23,drink,boire,trinken,beber,पीना,પીવું,1,2
24,table,tableau,Tisch,mesa,मेज़,ટેબલ,1,2
25,keep,garder,halten,mantener,रखना,રાખવું,1,2
26,"I drink, you drink, he drinks","Je bois, tu bois, il boit","Ich trinke, du trinkst, er trinkt","Bebo, bebes, bebe","मैं पीता हूँ, तुम पीती हो, वह पीता है","હું પીઉં છું, તમે પીવો છો, તે પીવે છે",1,2
27,he's eating food,Il mange de la nourriture,Er isst Essen,El esta comiendo comida,वह खाना खा रहा है,તે ખોરાક ખાય છે,1,2
28,she's drinking milk,Elle boit du lait,Sie trinkt Milch,Ella esta bebiendo leche,वह दूध पी रही है,તે દૂધ પીવે છે,1,2
29,he eats bread,il mange du pain,er isst Brot,él come pan,वह ब्रेड खाता है,તે બ્રેડ ખાય છે,1,2
30,you're welcome!,vous êtes les bienvenus!,Gern geschehen!,¡de nada!,आपका स्वागत है!,ભલે પધાર્યા!,1,2
31,happy,heureux,Glücklich,feliz,खुश,ખુશ,1,3
32,sad,triste,traurig,triste,उदास,ઉદાસી,1,3
33,cry,pleurer,weinen,llorar,चिल्लाना,રડવું,1,3
34,jumping,saut,Springen,salto,कूद,જમ્પિંગ,1,3
35,running,en cours d'exécution,läuft,correr,दौड़ना,દોડવું,1,3
36,book,livre,Buch,libro,किताब,પુસ્તક,1,3
37,read,lire,lesen,leer,पढ़ना,વાંચવું,1,3
38,excuse me,excusez-moi,Verzeihung,disculpe,माफ़ करें,માફ કરશો,1,3
39,spanish,Espagnol,Spanisch,español,स्पैनिश,સ્પૅનિશ,1,3
40,german,Allemand,Deutsch,alemán,जर्मन,જર્મન,1,3
41,"excuse me , please , I am sorry","Excusez-moi, s'il vous plaît, je suis désolé","Entschuldigung, bitte, es tut mir leid","Disculpe, por favor, lo siento","क्षमा करें, कृपया, मुझे क्षमा करें","મને માફ કરો, કૃપા કરીને, મને માફ કરશો",1,3
42,do you speak spanish?,parlez-vous espagnol?,sprichst du spanisch?,¿hablas español?,क्या आप स्पेनिश बोलते हैं?,તમે સ્પેનિશ બોલી શકો છો?,1,3
43,"no, I'm sorry. I speak german",non je suis désolé. Je parle allemand,"Nein, tut mir leid. Ich spreche Deutsch","no, lo siento. Hablo alemán",नहीं मुझे माफ कर दो। मैं जर्मन बोल सकता हूं,"નાં, હું દિલગીર છું. હું જર્મન બોલું છું",1,3
44,nice to meet you,ravi de vous rencontrer,"Schön, dich kennenzulernen",encantado de conocerlo,आपसे मिलकर अच्छा लगा,તમને મળીને આનંદ થયો,1,3
45,"yes, water please","Oui, l'eau s'il vous plaît","Ja, bitte Wasser","si, agua por favor","हाँ, कृपया पानी दें","હા, પાણી આપો",1,3
46,doctor,médecin,Arzt,doctor,चिकित्सक,ડૉક્ટર,1,4
47,engineer,ingénieur,Ingenieur,ingeniero,अभियंता,ઇજનેર,1,4
48,builder,constructeur,Erbauer,constructor,निर्माता,બિલ્ડર,1,4
49,plumber,plombier,Klempner,plomero,प्लंबर,પ્લમ્બર,1,4
50,pilot,pilote,Pilot,piloto,पायलट,પાયલોટ,1,4
51,lawyer,avocat,Rechtsanwalt,abogado,वकील,વકીલ,1,4
52,police,police,Polizei,policía,पुलिस,પોલીસ,1,4
53,student,étudiant,Student,alumno,विद्यार्थी,વિદ્યાર્થી,1,4
54,teacher,professeur,Lehrer,maestro,अध्यापक,શિક્ષક,1,4
55,professor,professeur,Professor,profesor,प्रोफ़ेसर,પ્રોફેસર,1,4
56,maria is a doctor,Maria est médecin,Maria ist Arzt,María es doctora,मारिया एक डॉक्टर हैं,મારિયા એક ડૉક્ટર છે,1,4
57,he was a thief,C'était un voleur,Er war ein Dieb,El era un ladrón,वह एक चोर था,તે ચોર હતો,1,4
58,george is a good man,George est un homme bon,George ist ein guter Mann,George es un buen hombre,जॉर्ज एक अच्छे इंसान हैं,જ્યોર્જ એક સારો માણસ છે,1,4
59,thief's are bad men,Les voleurs sont de mauvais hommes,Dieb sind schlechte Männer,Los ladrones son hombres malos,चोर बुरे आदमी हैं,ચોર ખરાબ માણસો છે,1,4
60,"yes,please",oui s'il vous plait,"Ja, bitte","sí, por favor",जी कहिये,"હા, કૃપા કરીને",1,4
61,ice cream,glace,Eiscreme,helado,आइसक्रीम,આઈસ્ક્રીમ,1,5
62,friend,ami,Freund,amigo,दोस्त,મિત્ર,1,5
63,taxi,Taxi,Taxi,Taxi,टैक्सी,ટેક્સી,1,5
64,my taxi,Mon taxi,mein Taxi,mi taxi,मेरी टैक्सी,મારી ટેક્સી,1,5
65,the passport,le passeport,der Pass,El pasaporte,पासपोर्ट,પાસપોર્ટ,1,5
66,phone,téléphone,Telefon,teléfono,फ़ोन,ફોન,1,5
67,passport,passeport,Reisepass,pasaporte,पासपोर्ट,પાસપોર્ટ,1,5
68,suitcase,valise,Koffer,maleta,सूटकेस,સૂટકેસ,1,5
69,I need water,J'ai besoin d'eau,ich brauche Wasser,necesito agua,मुझे पानी की जरूरत है,મારે પાણી જોઈએ છે,1,5
70,"I need a taxi, please","J'ai besoin d'un taxi, s'il vous plaît",Ich brauche bitte ein Taxi,"Necesito un taxi, por favor",कृपया मुझे एक टैक्सी चाहिए,કૃપા કરીને મને ટેક્સીની જરૂર છે,1,5
71,my,mon,Mein,mi,मेरा,મારા,1,5
72,need,besoin,brauchen,necesidad,ज़रूरत,જરૂર,1,5
73,Monday,Lundi,Montag,Lunes,सोमवार,સોમવાર,1,5
74,she is my mother,elle est ma mère,sie ist meine Mutter,ella es mi madre,वो मेरी माँ है,તેણી મારી માતા છે,1,5
75,I got hundred marks in exam,J'ai des centaines de notes à l'examen,Ich habe hundert Markierungen in der Prüfung bekommen,Tengo cien marcas en el examen,मुझे परीक्षा में सौ अंक मिले,મને પરીક્ષામાં સો માર્કસ મળ્યા,1,5