unitcontent_id,wordsentence_id,english_words,french_words,spanish_words,german_words,hindi_words,gujarati_words,unitId
1,1,Good Morning,Bonjour,Buen día,Guten Morgen,शुभ प्रभात,સુપ્રભાત,1
2,1,Good Afternoon,Bon après-midi,Buenas tardes,Guten Tag,शुभ दोपहर,શુભ બપોર,1
3,1,Good Evening,Bonne soirée,Buenas noches,Guten Abend,शुभ संध्या,શુભ સાંજ,1
4,1,Good night,Bonne nuit,Buenas noches,Gute Nacht,शुभ रात्रि,શુભ રાત્રી,1
5,1,I am,Je suis,Soy,Ich bin,मैं हूँ,હું છું,1
6,1,You,Toi,Tú,Du,आप,તમે,1
7,1,He,Il,Él,Er,वह,તેમણે,1
8,1,She,Elle,Ella,Sie,वह,તેણીએ,1
9,1,We,Nous,Nosotros,Wir,हम,અમે,1
10,1,They,Ils,Ellos,Sie,वे,તેઓ,1
11,1,Girl,Fille,Chica,Mädchen,लड़की,છોકરી,1
12,1,Woman,Femme,Mujer,Frau,महिला,સ્ત્રી,1
13,1,Boy,Garçon,Chico,Junge,लड़का,છોકરો,1
14,1,Man,Homme,Hombre,Mann,आदमी,માણસ,1
15,1,Thank You,Merci,Gracias,Danke,धन्यवाद,આભાર,1
16,1,Please,S'il te plaît,Por favor,Bitte,कृपया,મહેરબાની કરીને,1
17,1,Yes,Oui,Sí,Ja,हाँ,હા,1
18,1,No,Non,No,NEIN,नहीं,ના,1
19,1,Is,Thé,Té,Tee,है,છે,1
20,1,Are,Café,Café,Kaffee,हैं,છે,1
21,1,Sorry,Boire,Beber,Trinken,क्षमा मांगना,માફ કરશો,1
22,2,Hello Paul,Salut Paul,Hola Paul,Hallo Paul,नमस्कार पॉल,હેલો પોલ,1
23,2,Goodbye julia,Au revoir Julia,Adiós Julia,Auf Wiedersehen Julia,अलविदा जूलिया,ગુડબાય જુલિયા,1
24,2,You are nice,Tu es gentil,Eres amable,Du bist nett,आप अच्छे हैं,તમે સારા છો,1
25,2,She is very tall,Elle est tres grande,Ella es muy alta,Sie ist sehr groß,वह बहुत लम्बी है,તેણી ખૂબ ઊંચી છે,1
26,2,I am sorry,Café ou thé,Café o té,Kaffee oder Tee,मुझे खेद है,હું દિલગીર છું,1
27,2,You are very smart,Tu es très intelligent,Eres muy inteligente,Sie sind sehr intelligent,आप बहुत तेज हैं,તું ખુબ જ ચતુર છો,1
28,2,GoodMorning julia,Bonjour Julia,Buenos días Julia,Guten Morgen Julia,सुप्रभात जूलिया,ગુડ મોર્નિંગ જુલિયા,1
29,2,Water please,"De l'eau, s'il vous plaît",Puede traerme agua,"Wasser, bitte",कृपया पानी दीजिए,પાણી આપશો,1
30,2,They are here,Ils sont de retour,Ellos están de regreso,Sie sind zurück,वे यहाँ हैं,તેઓ અહીં છે,1
31,2,I am Michael,Je suis Michael,soy Michael,Ich bin Michael,मैं माइकल हूँ,હું માઈકલ છું,1
32,1,beverages,breuvages,bebidas,Getränke,पेय,પીણાં,2
33,1,water,eau,agua,Wasser,पानी,પાણી,2
34,1,food,nourriture,alimento,Essen,खाना,ખોરાક,2
35,1,bread,pain,pan,brot,रोटी,બ્રેડ,2
36,1,milk,lait,leche,Milch,दूध,દૂધ,2
37,1,tea,thé,té,Tee,चाय,ચા,2
38,1,coffee,café,café,Kaffee,कॉफी,કોફી,2
39,1,drink,boire,beber,trinken,पीना,પીવું,2
40,1,table,tableau,mesa,Tisch,मेज़,ટેબલ,2
41,1,keep,garder,mantener,halten,रखना,રાખવું,2
42,1,book,livre,libro,Buch,किताब,પુસ્તક,2
43,1,eat,manger,comer,essen,खाओ,ખાવું,2
44,1,pardon,pardon,indulto,Begnadigung,क्षमा,ક્ષમા,2
45,1,he's,il est,él es,er ist,वह है,તે છે,2
46,1,she's,Elle est,Ella es,sie ist,वह है,તે છે,2
47,1,here,ici,aquí,Hier,यहाँ,અહીં,2
48,1,there,là,allá,Dort,वहाँ,ત્યાં,2
49,1,welcome,accueillir,bienvenido,Willkommen,स्वागत,સ્વાગત છે,2
50,1,problem,problème,problema,Problem,संकट,સમસ્યા,2
51,2,"I drink, you drink, he drinks","Je bois, tu bois, il boit","Bebo, bebes, bebe","Ich trinke, du trinkst, er trinkt","मैं पीता हूँ, तुम पीती हो, वह पीता है","હું પીઉં છું, તમે પીવો છો, તે પીવે છે",2
52,2,he's eating food,Il mange de la nourriture,El esta comiendo comida,Er isst Essen,वह खाना खा रहा है,તે ખોરાક ખાય છે,2
53,2,she's drinking milk,Elle boit du lait,Ella esta bebiendo leche,Sie trinkt Milch,वह दूध पी रही है,તે દૂધ પીવે છે,2
54,2,he eats bread,il mange du pain,él come pan,er isst Brot,वह ब्रेड खाता है,તે બ્રેડ ખાય છે,2
55,2,you're welcome!,vous êtes les bienvenus!,¡de nada!,Gern geschehen!,आपका स्वागत है!,ભલે પધાર્યા!,2
56,2,no problem,aucun problème,ningún problema,Kein Problem,कोई बात नहीं,કોઇ વાંધો નહી,2
57,2,he's paul,Il est Paul,El es Paul,Er ist Paul,वह पॉल है,તે પોલ છે,2
58,2,yes please,oui s'il vous plait,"sí, por favor","Ja, bitte",जी कहिये,"હા, કૃપા કરીને",2
59,2,"she's here,he's there","Elle est là, il est là","Ella esta aquí, él está ahí","Sie ist hier, er ist da","वह यहाँ है, वह वहाँ है","તેણી અહીં છે, તે ત્યાં છે",2
60,2,julia likes coffee,Julia aime le café,A Julia le gusta el café,Julia mag Kaffee,जूलिया को कॉफ़ी पसंद है,જુલિયાને કોફી ગમે છે,2
61,1,happy,heureux,feliz,Glücklich,खुश,ખુશ,3
62,1,sad,triste,triste,traurig,उदास,ઉદાસી,3
63,1,cry,pleurer,llorar,weinen,चिल्लाना,રડવું,3
64,1,jumping,saut,salto,Springen,कूद,જમ્પિંગ,3
65,1,running,en cours d'exécution,correr,läuft,दौड़ना,દોડવું,3
66,1,book,livre,libro,Buch,किताब,પુસ્તક,3
67,1,read,lire,leer,lesen,पढ़ना,વાંચવું,3
68,1,excuse me,excusez-moi,disculpe,Verzeihung,माफ़ करें,માફ કરશો,3
69,1,spanish,Espagnol,español,Spanisch,स्पैनिश,સ્પૅનિશ,3
70,1,german,Allemand,alemán,Deutsch,जर्मन,જર્મન,3
71,1,french,Français,francés,französisch,फ़्रेंच,ફ્રેન્ચ,3
72,1,english,Anglais,inglés,Englisch,अंग्रेज़ी,અંગ્રેજી,3
73,1,speak,parler,hablar,sprechen,बोलना,બોલો,3
74,1,do,faire,hacer,Tun,करना,કરવું,3
75,1,nice,bon,lindo,Hübsch,अच्छा,સરસ,3
76,1,meet,rencontrer,encontrarse,treffen,मिलो,મળો,3
77,1,apple,pomme,manzana,Apfel,सेब,સફરજન,3
78,1,goodbye,au revoir,adiós,Verabschiedung,अलविदा,આવજો,3
79,1,say,dire,decir,sagen,कहना,કહો,3
80,1,watch,montre,mirar,betrachten,घड़ी,ઘડિયાળ,3
81,1,generally,en général,generalmente,allgemein,आम तौर पर,સામાન્ય રીતે,3
82,2,"excuse me , please , I am sorry","Excusez-moi, s'il vous plaît, je suis désolé","Disculpe, por favor, lo siento","Entschuldigung, bitte, es tut mir leid","क्षमा करें, कृपया, मुझे क्षमा करें","મને માફ કરો, કૃપા કરીને, મને માફ કરશો",3
83,2,do you speak spanish?,parlez-vous espagnol?,¿hablas español?,sprichst du spanisch?,क्या आप स्पेनिश बोलते हैं?,તમે સ્પેનિશ બોલી શકો છો?,3
84,2,"no, I'm sorry. I speak german",non je suis désolé. Je parle allemand,"no, lo siento. Hablo alemán","Nein, tut mir leid. Ich spreche Deutsch",नहीं मुझे माफ कर दो। मैं जर्मन बोल सकता हूं,"નાં, હું દિલગીર છું. હું જર્મન બોલું છું",3
85,2,nice to meet you,ravi de vous rencontrer,encantado de conocerlo,"Schön, dich kennenzulernen",आपसे मिलकर अच्छा लगा,તમને મળીને આનંદ થયો,3
86,2,"yes, water please","Oui, l'eau s'il vous plaît","si, agua por favor","Ja, bitte Wasser","हाँ, कृपया पानी दें","હા, કૃપા કરીને પાણી",3
87,2,"I eat ,you eat, he eats","Je mange, tu manges, il mange","Como, comes, él come","Ich esse, du isst, er isst","मैं खाता हूँ, तुम खाओ, वह खाता है","હું ખાઉં છું, તમે ખાઓ, તે ખાય છે",3
88,2,"I drink , you drink , he drinks","Je bois, tu bois, il boit","Bebo, bebes, bebe","Ich trinke, du trinkst, er trinkt","मैं पीता हूँ, तुम पीती हो, वह पीता है","હું પીઉં છું, તમે પીઓ, તે પીવે છે",3
89,2,generally speaking,en général,generalmente hablando,allgemein gesagt,आम तौर पर बोलना,સામાન્ય રીતે કહીએ તો,3
90,2,goodbye,au revoir,adiós,Verabschiedung,अलविदा,આવજો,3
91,2,juan speaks french,Juan parle français,Juan habla francés,Juan spricht Französisch,जुआन फ़्रेंच बोलता है,જુઆન ફ્રેન્ચ બોલે છે,3
92,1,doctor,médecin,doctor,Arzt,चिकित्सक,ડૉક્ટર,4
93,1,engineer,ingénieur,ingeniero,Ingenieur,अभियंता,ઇજનેર,4
94,1,builder,constructeur,constructor,Erbauer,निर्माता,બિલ્ડર,4
95,1,plumber,plombier,plomero,Klempner,प्लंबर,પ્લમ્બર,4
96,1,pilot,pilote,piloto,Pilot,पायलट,પાયલોટ,4
97,1,lawyer,avocat,abogado,Rechtsanwalt,वकील,વકીલ,4
98,1,police,police,policía,Polizei,पुलिस,પોલીસ,4
99,1,student,étudiant,alumno,Student,विद्यार्थी,વિદ્યાર્થી,4
100,1,teacher,professeur,maestro,Lehrer,अध्यापक,શિક્ષક,4
101,1,professor,professeur,profesor,Professor,प्रोफ़ेसर,પ્રોફેસર,4
102,1,thief,voleur,ladrón,Dieb,चोर,ચોર,4
103,1,good,bien,bien,Gut,अच्छा,સારું,4
104,1,bad,mauvais,malo,schlecht,खराब,ખરાબ,4
105,1,men,Hommes,hombres,Männer,पुरुषों,પુરુષો,4
106,1,women,femmes,mujer,Frauen,औरत,સ્ત્રીઓ,4
107,1,man,homme,hombre,Mann,आदमी,માણસ,4
108,1,woman,femme,mujer,Frau,महिला,સ્ત્રી,4
109,1,no,Non,No,NEIN,नहीं,ના,4
110,1,yes,Oui,Sí,Ja,हाँ,હા,4
111,1,welcome,accueillir,bienvenido,Willkommen,स्वागत,સ્વાગત છે,4
112,1,singing,en chantant,cantando,Singen,गायन,ગાયન,4
113,2,maria is a doctor,Maria est médecin,María es doctora,Maria ist Arzt,मारिया एक डॉक्टर हैं,મારિયા એક ડૉક્ટર છે,4
114,2,he was a thief,C'était un voleur,El era un ladrón,Er war ein Dieb,वह एक चोर था,તે ચોર હતો,4
115,2,george is a good man,George est un homme bon,George es un buen hombre,George ist ein guter Mann,जॉर्ज एक अच्छे इंसान हैं,જ્યોર્જ એક સારો માણસ છે,4
116,2,thief's are bad men,Les voleurs sont de mauvais hommes,Los ladrones son hombres malos,Dieb sind schlechte Männer,चोर बुरे आदमी हैं,ચોર ખરાબ માણસો છે,4
117,2,"yes,please",oui s'il vous plait,"sí, por favor","Ja, bitte",जी कहिये,"હા, કૃપા કરીને",4
118,2,"no,I'm sorry",non je suis désolé,"no, lo siento","Nein, tut mir leid",नहीं मुझे माफ कर दो,"નાં, હું દિલગીર છું",4
119,2,you're welcome,vous êtes les bienvenus,de nada,Gern geschehen,आपका स्वागत है,ભલે પધાર્યા,4
120,2,I like my teacher,J'aime mon professeur,me gusta mi maestro,ich mag meinen Lehrer,मुझे अपने शिक्षक पसंद हैं,મને મારા શિક્ષક ગમે છે,4
121,2,the students are singing,Les étudiants chantent,Los estudiantes están cantando,Die Schüler singen,छात्र गा रहे हैं,વિદ્યાર્થીઓ ગાય છે,4
122,2,she wants to be a pilot,Elle veut être pilote,Ella quiere ser piloto,Sie möchte Pilotin sein,वह पायलट बनना चाहती है,તે પાઈલટ બનવા માંગે છે,4
123,1,ice cream,glace,helado,Eiscreme,आइसक्रीम,આઈસ્ક્રીમ,5
124,1,friend,ami,amigo,Freund,दोस्त,મિત્ર,5
125,1,taxi,Taxi,Taxi,Taxi,टैक्सी,ટેક્સી,5
126,1,phone,téléphone,teléfono,Telefon,फ़ोन,ફોન,5
127,1,passport,passeport,pasaporte,Reisepass,पासपोर्ट,પાસપોર્ટ,5
128,1,suitcase,valise,maleta,Koffer,सूटकेस,સૂટકેસ,5
129,1,my,mon,mi,Mein,मेरा,મારા,5
130,1,need,besoin,necesidad,brauchen,ज़रूरत,જરૂર,5
131,1,Monday,Lundi,Lunes,Montag,सोमवार,સોમવાર,5
132,1,Sunday,Dimanche,Domingo,Sonntag,रविवार,રવિવાર,5
133,1,Wednesday,Mercredi,Miércoles,Mittwoch,बुधवार,બુધવાર,5
134,1,hundred,cent,centenar,hundert,सौ,સો,5
135,1,one,un,uno,eins,एक,એક,5
136,1,zero,zéro,cero,null,शून्य,શૂન્ય,5
137,1,ten,dix,diez,zehn,दस,દસ,5
138,1,father,père,padre,Vater,पिता,પિતા,5
139,1,brother,frère,hermano,Bruder,भाई,ભાઈ,5
140,1,mother,mère,madre,Mutter,माँ,માતા,5
141,1,time,temps,tiempo,Zeit,समय,સમય,5
142,1,mother,mère,madre,Mutter,माँ,માતા,5
143,2,my taxi,Mon taxi,mi taxi,mein Taxi,मेरी टैक्सी,મારી ટેક્સી,5
144,2,the passport,le passeport,El pasaporte,der Pass,पासपोर्ट,પાસપોર્ટ,5
145,2,I need water,J'ai besoin d'eau,necesito agua,ich brauche Wasser,मुझे पानी की जरूरत है,મારે પાણી જોઈએ છે,5
146,2,"I need a taxi, please","J'ai besoin d'un taxi, s'il vous plaît","Necesito un taxi, por favor",Ich brauche bitte ein Taxi,कृपया मुझे एक टैक्सी चाहिए,કૃપા કરીને મને ટેક્સીની જરૂર છે,5
147,2,she is my mother,elle est ma mère,ella es mi madre,sie ist meine Mutter,वो मेरी माँ है,તેણી મારી માતા છે,5
148,2,I got hundred marks in exam,J'ai des centaines de notes à l'examen,Tengo cien marcas en el examen,Ich habe hundert Markierungen in der Prüfung bekommen,मुझे परीक्षा में सौ अंक मिले,મને પરીક્ષામાં સો માર્કસ મળ્યા,5
149,2,what's the time?,quelle heure est-il?,¿que hora es?,Wie viel Uhr ist es?,समय क्या हुआ है?,સમય શું છે?,5
150,2,paul is my brother,Paul est mon frère,Paul es mi hermano,Paul ist mein Bruder,पॉल मेरा भाई है,પોલ મારો ભાઈ છે,5
151,2,let's eat ice cream,Mangeons de la glace,comamos helado,Lass uns Eis essen,चलो आइसक्रीम खाते हैं,ચાલો આઈસ્ક્રીમ ખાઈએ,5
152,2,"sorry, but you need a passport","Désolé, mais vous avez besoin d'un passeport","Lo siento, pero necesitas un pasaporte","Entschuldigung, aber Sie brauchen einen Reisepass","क्षमा करें, लेकिन आपको पासपोर्ट की आवश्यकता है","માફ કરશો, પરંતુ તમારે પાસપોર્ટની જરૂર છે",5